sample_id,system,split,language,mixture_type,noise_type,noise_category,is_impulsive,target_snr,actual_snr,clean_path,noisy_path,enhanced_path,si_snr_noisy,si_snr_enhanced,si_snr_improvement,si_sdr_noisy,si_sdr_enhanced,si_sdr_improvement,stoi_noisy,stoi_enhanced,stoi_improvement,estoi_noisy,estoi_enhanced,estoi_improvement,pesq_noisy,pesq_enhanced,pesq_improvement,dnsmos_sig_noisy,dnsmos_bak_noisy,dnsmos_ovrl_noisy,dnsmos_sig_enhanced,dnsmos_bak_enhanced,dnsmos_ovrl_enhanced,peak_attenuation_db_mean,residual_energy_ratio_mean,iisrt_mean_ms,rsdd_mean_ms
IG_023003,Impulse Guard,test,unknown,two_normal_noises,drone,drone,False,-5.0,-5.011696815490723,data/mixtures/test/clean/IG_023003.wav,data/mixtures/test/noisy/IG_023003.wav,data/enhanced/test/IG_023003.wav,-5.028778076171875,2.6280829906463623,7.656861066818237,-5.028779029846191,2.6280829906463623,7.656862020492554,0.6197458466607458,0.6212483691597176,0.001502522498971759,0.359929846091747,0.4231222058053452,0.06319235971359821,,,,2.8017797470092773,2.700038194656372,2.5509088039398193,3.3969626426696777,4.779923915863037,3.8884432315826416,,,,
IG_023004,Impulse Guard,test,unknown,normal_noise,non_stationary,wind,False,0.0,0.0,data/mixtures/test/clean/IG_023004.wav,data/mixtures/test/noisy/IG_023004.wav,data/enhanced/test/IG_023004.wav,0.03983798623085022,4.088397026062012,4.0485590398311615,0.03983798623085022,4.0883965492248535,4.048558562994003,0.9015302665756149,0.9145218268748205,0.012991560299205673,0.7196473497776448,0.7914571941446094,0.07180984436696458,,,,4.209987640380859,4.480533599853516,4.145260810852051,4.039465427398682,4.7979583740234375,4.218711853027344,,,,
IG_023005,Impulse Guard,test,unknown,normal_plus_impulse,musan+impulsive,musan+impulsive,True,10.0,,data/mixtures/test/clean/IG_023005.wav,data/mixtures/test/noisy/IG_023005.wav,data/enhanced/test/IG_023005.wav,-7.8605194091796875,-0.38134169578552246,7.479177713394165,-7.860519886016846,-0.38134169578552246,7.479178190231323,0.6558204950523675,0.6512132656053421,-0.004607229447025407,0.500913363464728,0.5167019110816042,0.015788547616876203,,,,3.8675026893615723,4.76506233215332,4.1162824630737305,3.81060528755188,4.76457405090332,4.087589740753174,13.943499565124512,0.007266879081726074,,
IG_023006,Impulse Guard,test,unknown,normal_noise,stationary,engine_idling,False,15.0,15.0,data/mixtures/test/clean/IG_023006.wav,data/mixtures/test/noisy/IG_023006.wav,data/enhanced/test/IG_023006.wav,15.010567665100098,14.670938491821289,-0.3396291732788086,15.010567665100098,14.670938491821289,-0.3396291732788086,0.9287110767842356,0.9346795146498212,0.005968437865585652,0.8464588564012628,0.8611175442757494,0.014658687874486542,,,,3.296016216278076,4.664985656738281,3.780500888824463,3.5358219146728516,4.786708831787109,3.9612653255462646,,,,
IG_023007,Impulse Guard,test,unknown,normal_noise,stationary,engine_idling,False,5.0,5.0,data/mixtures/test/clean/IG_023007.wav,data/mixtures/test/noisy/IG_023007.wav,data/enhanced/test/IG_023007.wav,5.017142295837402,8.011499404907227,2.994357109069824,5.0171427726745605,8.011499404907227,2.994356632232666,0.8651607636843067,0.9060097147479707,0.04084895106366393,0.6674410307674435,0.7538748221347471,0.08643379136730356,,,,3.4922873973846436,4.197203159332275,3.644745111465454,3.900102138519287,4.765071868896484,4.132587432861328,,,,
IG_023008,Impulse Guard,test,unknown,clean,clean,clean,False,,,data/mixtures/test/clean/IG_023008.wav,data/mixtures/test/noisy/IG_023008.wav,data/enhanced/test/IG_023008.wav,102.28947448730469,20.17969512939453,-82.10977935791016,102.28952026367188,20.17969512939453,-82.10982513427734,0.9999999999999997,0.9979888285946864,-0.0020111714053132612,1.0,0.9975429592634877,-0.002457040736512317,,,,3.6117398738861084,4.6054229736328125,3.908581495285034,3.6061007976531982,4.636505126953125,3.9213030338287354,,,,
IG_023009,Impulse Guard,test,unknown,normal_noise,stationary,engine_idling,False,0.0,5.177193429517501e-07,data/mixtures/test/clean/IG_023009.wav,data/mixtures/test/noisy/IG_023009.wav,data/enhanced/test/IG_023009.wav,-0.06687507778406143,2.1353652477264404,2.202240325510502,-0.06687455624341965,2.1353652477264404,2.20223980396986,0.8095050165615355,0.8520879941130607,0.04258297755152518,0.41812247971539546,0.5718799346056476,0.1537574548902521,,,,3.969992160797119,3.9719438552856445,3.770967960357666,3.654829978942871,4.794903755187988,4.024867057800293,,,,
IG_023010,Impulse Guard,test,unknown,two_normal_plus_impulse,musan+non_stationary+impulsive,musan+siren+impulsive,True,20.0,,data/mixtures/test/clean/IG_023010.wav,data/mixtures/test/noisy/IG_023010.wav,data/enhanced/test/IG_023010.wav,-3.406853437423706,2.851473808288574,6.25832724571228,-3.406853437423706,2.851473808288574,6.25832724571228,0.6784473191283114,0.722651680817423,0.04420436168911168,0.3364630253313466,0.408303125255063,0.07184009992371643,,,,3.6685986518859863,4.577434539794922,3.923016309738159,3.719132423400879,4.783923149108887,4.051527976989746,10.035247802734375,0.03116033971309662,180.0,0.0
IG_023011,Impulse Guard,test,unknown,impulse,impulsive,impulsive,True,5.0,,data/mixtures/test/clean/IG_023011.wav,data/mixtures/test/noisy/IG_023011.wav,data/enhanced/test/IG_023011.wav,9.416343688964844,9.920371055603027,0.5040273666381836,9.41634464263916,9.920371055603027,0.5040264129638672,0.8534643147294586,0.8780218846612923,0.024557569931833667,0.7265692941792392,0.768748813742552,0.042179519563312784,,,,3.835047721862793,4.419854164123535,3.9274508953094482,3.868236541748047,4.778352737426758,4.123294830322266,2.159757375717163,0.6688035130500793,60.0,20.0
IG_023012,Impulse Guard,test,unknown,two_normal_plus_impulse,musan+non_stationary+impulsive,musan+wind+impulsive,True,20.0,,data/mixtures/test/clean/IG_023012.wav,data/mixtures/test/noisy/IG_023012.wav,data/enhanced/test/IG_023012.wav,4.860989570617676,5.573203086853027,0.7122135162353516,4.860990524291992,5.573202133178711,0.7122116088867188,0.8221664097387498,0.8024390913073076,-0.019727318431442153,0.6717766120936169,0.6918925208309056,0.020115908737288635,,,,3.834157705307007,4.7584075927734375,4.096282958984375,3.755484104156494,4.795138359069824,4.075311660766602,8.726187705993652,0.070558100938797,870.0,340.0
